MoldCutterID,CutterID,MoldDesignID,MoldID,DateEntry,MoldCutterNotes
371,597,744,3443,08-Aug-24,2021.6.19　茨城工場　491ｘ341
372,597,750,1956,08-Aug-24,
373,597,752,1957,08-Aug-24,
374,597,753,1949,08-Aug-24,
375,597,754,1958,08-Aug-24,
926,598,2009,3975,16-Aug-24,
891,599,1890,455,16-Aug-24,
927,600,2008,226,16-Aug-24,
918,601,2012,3967,16-Aug-24,
922,602,2011,3971,16-Aug-24,
885,604,1837,2207,16-Aug-24,
998,605,2190,2062,16-Aug-24,
999,605,2191,2063,16-Aug-24,
700,606,977,2162,16-Aug-24,
699,606,978,2163,16-Aug-24,
641,610,718,430,16-Aug-24,
642,610,719,3703,16-Aug-24,
644,612,682,2992,16-Aug-24,
1011,613,2249,2457,16-Aug-24,
900,614,1922,145,16-Aug-24,
2718,615,3199,,28-Jan-25,
2719,615,3200,,28-Jan-25,
788,616,1435,3839,16-Aug-24,
548,617,301,734,16-Aug-24,
549,617,307,1862,16-Aug-24,
550,617,308,1861,16-Aug-24,
551,617,341,1863,16-Aug-24,
681,618,925,2684,16-Aug-24,
682,618,926,2702,16-Aug-24,
683,618,929,2695,16-Aug-24,
684,618,930,2699,16-Aug-24,
685,618,932,2678,16-Aug-24,
1069,619,2686,4115,16-Aug-24,
1070,619,2687,4116,16-Aug-24,
1120,620,2853,4165,16-Aug-24,
1373,621,3199,3041,11-Sep-24,
1002,622,2197,1807,16-Aug-24,PS
2442,622,4270,,22-Jan-25,PS
1004,623,2197,1807,16-Aug-24,PP
1005,623,2205,4052,16-Aug-24,PP
2440,623,2207,,22-Jan-25,PP
2438,623,4270,,22-Jan-25,PP
2439,623,4271,,22-Jan-25,PP
446,624,1491,3517,15-Aug-24,
447,624,1492,754,15-Aug-24,
1380,625,1861,3425,11-Sep-24,
1066,626,2810,2241,16-Aug-24,
710,628,980,3768,16-Aug-24,
2902,629,2201,,12-Jul-25,PS
1008,630,2202,1808,16-Aug-24,PS
1009,631,2202,1808,16-Aug-24,PP
376,632,2201,3448,08-Aug-24,
377,632,2206,1809,08-Aug-24,
769,633,1338,2408,16-Aug-24,
770,633,1339,3825,16-Aug-24,
1000,634,2194,4047,16-Aug-24,
561,635,409,1855,16-Aug-24,
563,635,410,1859,16-Aug-24,
564,635,411,2900,16-Aug-24,
565,635,412,1827,16-Aug-24,
2433,635,413,,22-Jan-25,
2434,635,414,,22-Jan-25,
621,636,588,993,16-Aug-24,
1042,637,2363,3036,16-Aug-24,
1024,638,2250,195,16-Aug-24,
1025,638,2251,198,16-Aug-24,
378,639,2914,2026,08-Aug-24,
759,640,1292,1094,16-Aug-24,
713,641,988,3013,16-Aug-24,
760,642,1291,1093,16-Aug-24,
2430,642,1292,,22-Jan-25,
1375,644,3128,37,11-Sep-24,
797,645,1523,3847,16-Aug-24,
379,646,1437,3451,08-Aug-24,ｘ2
622,647,588,993,16-Aug-24,
1017,648,2256,2458,16-Aug-24,
802,649,1540,3018,16-Aug-24,
646,650,783,389,16-Aug-24,
1113,651,2735,3050,16-Aug-24,
553,652,381,457,16-Aug-24,
791,653,1420,3842,16-Aug-24,
647,656,791,1985,16-Aug-24,
535,657,273,2042,16-Aug-24,
